dt,AverageTemperature,AverageTemperatureUncertainty,Country
1830-06-01,31.214,2.68,Algeria
1830-07-01,34.932,2.406,Algeria
1830-08-01,32.685,2.22,Algeria
1830-09-01,28.211,2.565,Algeria
1830-10-01,22.916,3.671,Algeria
1830-11-01,18.18,2.026,Algeria
1830-12-01,12.879,2.152,Algeria
1831-01-01,12.032,2.591,Algeria
1831-02-01,14.065,4.893,Algeria
1831-03-01,18.383,3.868,Algeria
1831-04-01,21.855,1.931,Algeria
1831-05-01,27.809,2.708,Algeria
1831-06-01,32.421,2.096,Algeria
1831-07-01,33.569,2.009,Algeria
1831-08-01,31.917,2.323,Algeria
1831-09-01,27.942,1.847,Algeria
1831-10-01,23.266,1.648,Algeria
1831-11-01,16.991,4.583,Algeria
1831-12-01,11.887,3.074,Algeria
1832-01-01,11.231,1.656,Algeria
1832-02-01,13.427,2.726,Algeria
1832-03-01,17.922,2.095,Algeria
1832-04-01,22.307,2.586,Algeria
1832-05-01,27.54,1.979,Algeria
1832-06-01,31.309,1.92,Algeria
1832-07-01,34.148,2.429,Algeria
1832-08-01,32.172,2.394,Algeria
1832-09-01,28.546,2.522,Algeria
1832-10-01,23.383,1.791,Algeria
1832-11-01,16.767,1.645,Algeria
1832-12-01,11.185,3.606,Algeria
1833-01-01,12.321,2.243,Algeria
1833-02-01,14.458,2.147,Algeria
1833-03-01,17.4,2.341,Algeria
1833-04-01,22.056,2.125,Algeria
1833-05-01,27.077,1.716,Algeria
1833-06-01,31.811,2.487,Algeria
1833-07-01,32.599,1.817,Algeria
1833-08-01,32.476,1.659,Algeria
1833-09-01,28.228,1.569,Algeria
1833-10-01,22.39,1.777,Algeria
1833-11-01,18.005,1.974,Algeria
1833-12-01,12.342,2.254,Algeria
1834-01-01,11.162,3.606,Algeria
1834-02-01,14.119,2.476,Algeria
1834-03-01,18.532,1.702,Algeria
1834-04-01,22.13,1.964,Algeria
1834-05-01,27.516,1.7,Algeria
1834-06-01,31.604,1.707,Algeria
1834-07-01,33.529,1.82,Algeria
1834-08-01,32.266,1.862,Algeria
1834-09-01,29.815,2.295,Algeria
1834-10-01,23.562,1.877,Algeria
1834-11-01,18.014,2.448,Algeria
1834-12-01,12.606,1.579,Algeria
1835-01-01,12.685,2.407,Algeria
1835-02-01,14.226,1.803,Algeria
1835-03-01,17.789,2.024,Algeria
1835-04-01,21.648,1.709,Algeria
1835-05-01,26.377,1.627,Algeria
1835-06-01,30.781,1.739,Algeria
1835-07-01,32.641,2.153,Algeria
1835-08-01,31.565,1.65,Algeria
1835-09-01,27.695,1.751,Algeria
1835-10-01,22.309,1.649,Algeria
1835-11-01,16.261,1.506,Algeria
1835-12-01,11.037,1.602,Algeria
1836-01-01,11.554,1.764,Algeria
1836-02-01,14.265,1.876,Algeria
1836-03-01,18.412,1.503,Algeria
1836-04-01,21.348,1.824,Algeria
1836-05-01,25.595,1.861,Algeria
1836-06-01,31.078,2.318,Algeria
1836-07-01,34.305,1.651,Algeria
1836-08-01,32.202,1.692,Algeria
1836-09-01,28.26,2.096,Algeria
1836-10-01,23.315,3.705,Algeria
1836-11-01,16.075,2.103,Algeria
1836-12-01,11.892,1.936,Algeria
1837-01-01,11.502,2.43,Algeria
1837-02-01,14.538,2.034,Algeria
1837-03-01,16.469,2.094,Algeria
1837-04-01,20.38,1.888,Algeria
1837-05-01,25.871,2.51,Algeria
1837-06-01,31.525,2.426,Algeria
1837-07-01,33.929,1.818,Algeria
1837-08-01,32.675,1.646,Algeria
1837-09-01,28.541,1.521,Algeria
1837-10-01,22.421,1.579,Algeria
1837-11-01,16.003,2.35,Algeria
1837-12-01,13.08,2.208,Algeria
1838-01-01,11.633,2.85,Algeria
1838-02-01,14.157,1.695,Algeria
1838-03-01,17.678,2.089,Algeria
1838-04-01,21.591,1.595,Algeria
1838-05-01,26.389,1.532,Algeria
1838-06-01,31.246,1.823,Algeria
1838-07-01,34.225,2.738,Algeria
1838-08-01,33.137,2.333,Algeria
1838-09-01,28.492,1.598,Algeria
1838-10-01,23.106,3.101,Algeria
1838-11-01,17.61,2.41,Algeria
1838-12-01,11.972,2.383,Algeria
1839-01-01,10.988,1.727,Algeria
1839-02-01,14.177,1.98,Algeria
1839-03-01,16.922,1.671,Algeria
1839-04-01,22.299,1.799,Algeria
1839-05-01,26.256,1.624,Algeria
1839-06-01,31.278,1.602,Algeria
1839-07-01,33.893,2.388,Algeria
1839-08-01,33.66,1.715,Algeria
1839-09-01,28.473,1.681,Algeria
1839-10-01,22.91,1.792,Algeria
1839-11-01,16.176,2.117,Algeria
1839-12-01,12.214,2.178,Algeria
1840-01-01,12.448,2.183,Algeria
1840-02-01,13.765,2.309,Algeria
1840-03-01,16.679,1.835,Algeria
1840-04-01,21.433,2.104,Algeria
1840-05-01,27.151,1.815,Algeria
1840-06-01,32.421,1.611,Algeria
1840-07-01,33.884,1.661,Algeria
1840-08-01,32.814,1.844,Algeria
1840-09-01,29.024,1.688,Algeria
1840-10-01,23.325,2.089,Algeria
1840-11-01,17.166,2.885,Algeria
1840-12-01,12.705,1.974,Algeria
1841-01-01,10.661,2.125,Algeria
1841-02-01,15.138,1.699,Algeria
1841-03-01,17.377,3.463,Algeria
1841-04-01,21.351,2.226,Algeria
1841-05-01,27.254,1.769,Algeria
1841-06-01,31.317,1.678,Algeria
1841-07-01,33.735,2.106,Algeria
1841-08-01,32.644,1.703,Algeria
1841-09-01,28.866,1.5,Algeria
1841-10-01,23.614,1.771,Algeria
1841-11-01,17.071,1.492,Algeria
1841-12-01,12.037,1.926,Algeria
1842-01-01,10.703,2.049,Algeria
1842-02-01,14.572,2.403,Algeria
1842-03-01,19.315,1.876,Algeria
1842-04-01,22.244,2.069,Algeria
1842-05-01,27.125,1.503,Algeria
1842-06-01,32.173,1.701,Algeria
1842-07-01,34.185,1.808,Algeria
1842-08-01,32.372,1.455,Algeria
1842-09-01,28.189,1.589,Algeria
1842-10-01,23.231,1.71,Algeria
1842-11-01,16.982,1.93,Algeria
1842-12-01,12.678,1.805,Algeria
1843-01-01,11.572,1.622,Algeria
1843-02-01,15.086,1.926,Algeria
1843-03-01,17.99,1.896,Algeria
1843-04-01,22.623,1.642,Algeria
1843-05-01,26.679,1.605,Algeria
1843-06-01,30.93,1.736,Algeria
1843-07-01,33.338,1.79,Algeria
1843-08-01,32.902,1.609,Algeria
1843-09-01,29.203,1.527,Algeria
1843-10-01,24.284,1.594,Algeria
1843-11-01,16.871,1.883,Algeria
1843-12-01,12.615,2.358,Algeria
1844-01-01,11.391,1.674,Algeria
1844-02-01,13.38,1.546,Algeria
1844-03-01,18.141,2.19,Algeria
1844-04-01,21.968,1.511,Algeria
1844-05-01,26.173,1.654,Algeria
1844-06-01,31.284,1.655,Algeria
1844-07-01,34.095,1.621,Algeria
1844-08-01,32.809,1.919,Algeria
1844-09-01,29.038,1.665,Algeria
1844-10-01,23.855,2.136,Algeria
1844-11-01,16.775,1.6,Algeria
1844-12-01,12.19,1.697,Algeria
1845-01-01,12.184,1.689,Algeria
1845-02-01,12.639,1.821,Algeria
